sequence,date,event,event1,event2,date_formatted
174,2012-06-01,The Ultimate Fighter: Live Finale,The Ultimate Fighter: Live Finale,,"June 01, 2012"
175,2012-06-08,UFC on FX: Johnson vs. McCall,UFC on FX: Johnson vs. McCall,,"June 08, 2012"
176,2012-06-22,UFC on FX: Maynard vs. Guida,UFC on FX: Maynard vs. Guida,,"June 22, 2012"
177,2012-06-23,UFC 147: Silva vs. Franklin II,UFC 147: Silva vs. Franklin II,,"June 23, 2012"
178,2012-07-07,UFC 148: Silva vs. Sonnen II,UFC 148: Silva vs. Sonnen II,,"July 07, 2012"
179,2012-07-11,UFC on Fuel TV: Muñoz vs. Weidman,UFC on Fuel TV: Muñoz vs. Weidman,,"July 11, 2012"
180,2012-07-21,UFC 149: Faber vs. Barão,UFC 149: Faber vs. Barão,,"July 21, 2012"
181,2012-08-04,UFC on Fox: Shogun vs. Vera,UFC on Fox: Shogun vs. Vera,,"August 04, 2012"
182,2012-08-11,UFC 150: Henderson vs. Edgar II,UFC 150: Henderson vs. Edgar II,,"August 11, 2012"
183,2012-09-22,UFC 152: Jones vs. Belfort,UFC 152: Jones vs. Belfort,,"September 22, 2012"
184,2012-09-29,UFC on Fuel TV: Struve vs. Miocic,UFC on Fuel TV: Struve vs. Miocic,,"September 29, 2012"
185,2012-10-05,UFC on FX: Browne vs. Bigfoot,UFC on FX: Browne vs. Bigfoot,,"October 05, 2012"
186,2012-10-13,UFC 153: Silva vs. Bonnar,UFC 153: Silva vs. Bonnar,,"October 13, 2012"
187,2012-11-10,UFC on Fuel TV: Franklin vs. Le,UFC on Fuel TV: Franklin vs. Le,,"November 10, 2012"
188,2012-11-17,UFC 154: St-Pierre vs. Condit,UFC 154: St-Pierre vs. Condit,,"November 17, 2012"
189,2012-12-08,UFC on Fox: Henderson vs. Diaz,UFC on Fox: Henderson vs. Diaz,,"December 08, 2012"
190,2012-12-15,"The Ultimate Fighter: Team Carwin vs. Team Nelson Finale, UFC on FX: Sotiropoulos vs. Pearson",The Ultimate Fighter: Team Carwin vs. Team Nelson Finale, UFC on FX: Sotiropoulos vs. Pearson,"December 15, 2012"
191,2012-12-29,UFC 155: dos Santos vs. Velasquez 2,UFC 155: dos Santos vs. Velasquez 2,,"December 29, 2012"
192,2013-01-19,UFC on FX: Belfort vs. Bisping,UFC on FX: Belfort vs. Bisping,,"January 19, 2013"
193,2013-01-26,UFC on Fox: Johnson vs. Dodson,UFC on Fox: Johnson vs. Dodson,,"January 26, 2013"
194,2013-02-02,UFC 156: Aldo vs. Edgar,UFC 156: Aldo vs. Edgar,,"February 02, 2013"
195,2013-02-16,UFC on Fuel TV: Barão vs. McDonald,UFC on Fuel TV: Barão vs. McDonald,,"February 16, 2013"
196,2013-02-23,UFC 157: Rousey vs. Carmouche,UFC 157: Rousey vs. Carmouche,,"February 23, 2013"
197,2013-03-03,UFC on Fuel TV: Silva vs. Stann,UFC on Fuel TV: Silva vs. Stann,,"March 03, 2013"
198,2013-03-16,UFC 158: St-Pierre vs. Diaz,UFC 158: St-Pierre vs. Diaz,,"March 16, 2013"
199,2013-04-06,UFC on Fuel TV: Mousasi vs. Latifi,UFC on Fuel TV: Mousasi vs. Latifi,,"April 06, 2013"
200,2013-04-13,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,,"April 13, 2013"
201,2013-04-20,UFC on Fox: Henderson vs. Melendez,UFC on Fox: Henderson vs. Melendez,,"April 20, 2013"
202,2013-04-27,UFC 159: Jones vs. Sonnen,UFC 159: Jones vs. Sonnen,,"April 27, 2013"
203,2013-05-18,UFC on FX: Belfort vs. Rockhold,UFC on FX: Belfort vs. Rockhold,,"May 18, 2013"
204,2013-05-25,UFC 160: Velasquez vs. Bigfoot 2,UFC 160: Velasquez vs. Bigfoot 2,,"May 25, 2013"
205,2013-06-08,UFC on Fuel TV: Nogueira vs. Werdum,UFC on Fuel TV: Nogueira vs. Werdum,,"June 08, 2013"
206,2013-06-15,UFC 161: Evans vs. Henderson,UFC 161: Evans vs. Henderson,,"June 15, 2013"
207,2013-07-06,UFC 162: Silva vs. Weidman,UFC 162: Silva vs. Weidman,,"July 06, 2013"
208,2013-07-27,UFC on Fox: Johnson vs. Moraga,UFC on Fox: Johnson vs. Moraga,,"July 27, 2013"
209,2013-08-03,UFC 163: Aldo vs. Korean Zombie,UFC 163: Aldo vs. Korean Zombie,,"August 03, 2013"
210,2013-08-17,UFC Fight Night: Shogun vs. Sonnen,UFC Fight Night: Shogun vs. Sonnen,,"August 17, 2013"
211,2013-08-28,UFC Fight Night: Condit vs. Kampmann 2,UFC Fight Night: Condit vs. Kampmann 2,,"August 28, 2013"
212,2013-08-31,UFC 164: Henderson vs. Pettis,UFC 164: Henderson vs. Pettis,,"August 31, 2013"
213,2013-09-04,UFC Fight Night: Teixeira vs. Bader,UFC Fight Night: Teixeira vs. Bader,,"September 04, 2013"
214,2013-09-21,UFC 165: Jones vs. Gustafsson,UFC 165: Jones vs. Gustafsson,,"September 21, 2013"
215,2013-10-09,UFC Fight Night: Maia vs. Shields,UFC Fight Night: Maia vs. Shields,,"October 09, 2013"
216,2013-10-19,UFC 166: Velasquez vs. dos Santos III,UFC 166: Velasquez vs. dos Santos III,,"October 19, 2013"
217,2013-10-26,UFC Fight Night: Machida vs. Muñoz,UFC Fight Night: Machida vs. Muñoz,,"October 26, 2013"
218,2013-11-06,UFC: Fight for the Troops 3,UFC: Fight for the Troops 3,,"November 06, 2013"
219,2013-11-09,UFC Fight Night: Belfort vs. Henderson,UFC Fight Night: Belfort vs. Henderson,,"November 09, 2013"
220,2013-11-16,UFC 167: St-Pierre vs. Hendricks,UFC 167: St-Pierre vs. Hendricks,,"November 16, 2013"
221,2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,,"November 30, 2013"
222,2013-12-07,UFC Fight Night: Hunt vs. Bigfoot,UFC Fight Night: Hunt vs. Bigfoot,,"December 07, 2013"
223,2013-12-14,UFC on Fox: Johnson vs. Benavidez 2,UFC on Fox: Johnson vs. Benavidez 2,,"December 14, 2013"
224,2013-12-28,UFC 168: Weidman vs. Silva 2,UFC 168: Weidman vs. Silva 2,,"December 28, 2013"
225,2014-01-04,UFC Fight Night: Saffiedine vs. Lim,UFC Fight Night: Saffiedine vs. Lim,,"January 04, 2014"
226,2014-01-15,UFC Fight Night: Rockhold vs. Philippou,UFC Fight Night: Rockhold vs. Philippou,,"January 15, 2014"
227,2014-01-25,UFC on Fox: Henderson vs. Thomson,UFC on Fox: Henderson vs. Thomson,,"January 25, 2014"
228,2014-02-01,UFC 169: Barão vs. Faber II,UFC 169: Barão vs. Faber II,,"February 01, 2014"
229,2014-02-15,UFC Fight Night: Machida vs. Mousasi,UFC Fight Night: Machida vs. Mousasi,,"February 15, 2014"
230,2014-02-22,UFC 170: Rousey vs. McMann,UFC 170: Rousey vs. McMann,,"February 22, 2014"
231,2014-03-01,The Ultimate Fighter China Finale: Kim vs. Hathaway,The Ultimate Fighter China Finale: Kim vs. Hathaway,,"March 01, 2014"
232,2014-03-08,UFC Fight Night: Gustafsson vs. Manuwa,UFC Fight Night: Gustafsson vs. Manuwa,,"March 08, 2014"
233,2014-03-15,UFC 171: Hendricks vs. Lawler,UFC 171: Hendricks vs. Lawler,,"March 15, 2014"
234,2014-03-23,UFC Fight Night: Shogun vs. Henderson 2,UFC Fight Night: Shogun vs. Henderson 2,,"March 23, 2014"
235,2014-04-11,UFC Fight Night: Nogueira vs. Nelson,UFC Fight Night: Nogueira vs. Nelson,,"April 11, 2014"
236,2014-04-16,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,,"April 16, 2014"
237,2014-04-19,UFC on Fox: Werdum vs. Browne,UFC on Fox: Werdum vs. Browne,,"April 19, 2014"
238,2014-04-26,UFC 172: Jones vs. Teixeira,UFC 172: Jones vs. Teixeira,,"April 26, 2014"
239,2014-05-10,UFC Fight Night: Brown vs. Silva,UFC Fight Night: Brown vs. Silva,,"May 10, 2014"
240,2014-05-24,UFC 173: Barão vs. Dillashaw,UFC 173: Barão vs. Dillashaw,,"May 24, 2014"
241,2014-05-31,"UFC Fight Night: Muñoz vs. Mousasi, The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado",UFC Fight Night: Muñoz vs. Mousasi, The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,"May 31, 2014"
242,2014-06-07,UFC Fight Night: Henderson vs. Khabilov,UFC Fight Night: Henderson vs. Khabilov,,"June 07, 2014"
243,2014-06-14,UFC 174: Johnson vs. Bagautinov,UFC 174: Johnson vs. Bagautinov,,"June 14, 2014"
244,2014-06-28,"UFC Fight Night: Swanson vs. Stephens, UFC Fight Night: Te Huna vs. Marquardt",UFC Fight Night: Swanson vs. Stephens, UFC Fight Night: Te Huna vs. Marquardt,"June 28, 2014"
245,2014-07-05,UFC 175: Weidman vs. Machida,UFC 175: Weidman vs. Machida,,"July 05, 2014"
246,2014-07-06,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,,"July 06, 2014"
247,2014-07-16,UFC Fight Night: Cowboy vs. Miller,UFC Fight Night: Cowboy vs. Miller,,"July 16, 2014"
248,2014-07-19,UFC Fight Night: McGregor vs. Brandao,UFC Fight Night: McGregor vs. Brandao,,"July 19, 2014"
249,2014-07-26,UFC on Fox: Lawler vs. Brown,UFC on Fox: Lawler vs. Brown,,"July 26, 2014"
250,2014-08-16,UFC Fight Night: Bader vs. Saint Preux,UFC Fight Night: Bader vs. Saint Preux,,"August 16, 2014"
251,2014-08-23,"UFC Fight Night: Bisping vs. Le, UFC Fight Night: Henderson vs. dos Anjos",UFC Fight Night: Bisping vs. Le, UFC Fight Night: Henderson vs. dos Anjos,"August 23, 2014"
252,2014-08-30,UFC 177: Dillashaw vs. Soto,UFC 177: Dillashaw vs. Soto,,"August 30, 2014"
253,2014-09-05,UFC Fight Night: Jacaré vs. Mousasi,UFC Fight Night: Jacaré vs. Mousasi,,"September 05, 2014"
254,2014-09-13,UFC Fight Night: Bigfoot vs. Arlovski,UFC Fight Night: Bigfoot vs. Arlovski,,"September 13, 2014"
255,2014-09-20,UFC Fight Night: Hunt vs. Nelson,UFC Fight Night: Hunt vs. Nelson,,"September 20, 2014"
256,2014-09-27,UFC 178: Johnson vs. Cariaso,UFC 178: Johnson vs. Cariaso,,"September 27, 2014"
257,2014-10-04,"UFC Fight Night: Nelson vs. Story, UFC Fight Night: MacDonald vs. Saffiedine",UFC Fight Night: Nelson vs. Story, UFC Fight Night: MacDonald vs. Saffiedine,"October 04, 2014"
258,2014-10-25,UFC 179: Aldo vs. Mendes 2,UFC 179: Aldo vs. Mendes 2,,"October 25, 2014"
259,2014-11-08,"UFC Fight Night: Rockhold vs. Bisping, UFC Fight Night: Shogun vs. Saint Preux",UFC Fight Night: Rockhold vs. Bisping, UFC Fight Night: Shogun vs. Saint Preux,"November 08, 2014"
260,2014-11-15,UFC 180: Werdum vs. Hunt,UFC 180: Werdum vs. Hunt,,"November 15, 2014"
261,2014-11-22,UFC Fight Night: Edgar vs. Swanson,UFC Fight Night: Edgar vs. Swanson,,"November 22, 2014"
262,2014-12-06,UFC 181: Hendricks vs. Lawler II,UFC 181: Hendricks vs. Lawler II,,"December 06, 2014"
263,2014-12-12,The Ultimate Fighter: A Champion Will Be Crowned Finale,The Ultimate Fighter: A Champion Will Be Crowned Finale,,"December 12, 2014"
264,2014-12-13,UFC on Fox: dos Santos vs. Miocic,UFC on Fox: dos Santos vs. Miocic,,"December 13, 2014"
265,2014-12-20,UFC Fight Night: Machida vs. Dollaway,UFC Fight Night: Machida vs. Dollaway,,"December 20, 2014"
266,2015-01-03,UFC 182: Jones vs. Cormier,UFC 182: Jones vs. Cormier,,"January 03, 2015"
267,2015-01-18,UFC Fight Night: McGregor vs. Siver,UFC Fight Night: McGregor vs. Siver,,"January 18, 2015"
268,2015-01-24,UFC on Fox: Gustafsson vs. Johnson,UFC on Fox: Gustafsson vs. Johnson,,"January 24, 2015"
269,2015-01-31,UFC 183: Silva vs. Diaz,UFC 183: Silva vs. Diaz,,"January 31, 2015"
270,2015-02-14,UFC Fight Night: Henderson vs. Thatch,UFC Fight Night: Henderson vs. Thatch,,"February 14, 2015"
271,2015-02-22,UFC Fight Night: Bigfoot vs. Mir,UFC Fight Night: Bigfoot vs. Mir,,"February 22, 2015"
272,2015-02-28,UFC 184: Rousey vs. Zingano,UFC 184: Rousey vs. Zingano,,"February 28, 2015"
273,2015-03-14,UFC 185: Pettis vs. dos Anjos,UFC 185: Pettis vs. dos Anjos,,"March 14, 2015"
274,2015-03-21,UFC Fight Night: Maia vs. LaFlare,UFC Fight Night: Maia vs. LaFlare,,"March 21, 2015"
275,2015-04-04,UFC Fight Night: Mendes vs. Lamas,UFC Fight Night: Mendes vs. Lamas,,"April 04, 2015"
276,2015-04-11,UFC Fight Night: Gonzaga vs. Cro Cop 2,UFC Fight Night: Gonzaga vs. Cro Cop 2,,"April 11, 2015"
277,2015-04-18,UFC on Fox: Machida vs. Rockhold,UFC on Fox: Machida vs. Rockhold,,"April 18, 2015"
278,2015-04-25,UFC 186: Johnson vs. Horiguchi,UFC 186: Johnson vs. Horiguchi,,"April 25, 2015"
279,2015-05-10,UFC Fight Night: Miocic vs. Hunt,UFC Fight Night: Miocic vs. Hunt,,"May 10, 2015"
280,2015-05-16,UFC Fight Night: Edgar vs. Faber,UFC Fight Night: Edgar vs. Faber,,"May 16, 2015"
281,2015-05-23,UFC 187: Johnson vs. Cormier,UFC 187: Johnson vs. Cormier,,"May 23, 2015"
282,2015-05-30,UFC Fight Night: Condit vs. Alves,UFC Fight Night: Condit vs. Alves,,"May 30, 2015"
283,2015-06-06,UFC Fight Night: Boetsch vs. Henderson,UFC Fight Night: Boetsch vs. Henderson,,"June 06, 2015"
284,2015-06-13,UFC 188: Velasquez vs. Werdum,UFC 188: Velasquez vs. Werdum,,"June 13, 2015"
285,2015-06-20,UFC Fight Night: Jędrzejczyk vs. Penne,UFC Fight Night: Jędrzejczyk vs. Penne,,"June 20, 2015"
286,2015-06-27,UFC Fight Night: Machida vs. Romero,UFC Fight Night: Machida vs. Romero,,"June 27, 2015"
287,2015-07-11,UFC 189: Mendes vs. McGregor,UFC 189: Mendes vs. McGregor,,"July 11, 2015"
288,2015-07-12,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,,"July 12, 2015"
289,2015-07-15,UFC Fight Night: Mir vs. Duffee,UFC Fight Night: Mir vs. Duffee,,"July 15, 2015"
290,2015-07-18,UFC Fight Night: Bisping vs. Leites,UFC Fight Night: Bisping vs. Leites,,"July 18, 2015"
291,2015-07-25,UFC on Fox: Dillashaw vs. Barão 2,UFC on Fox: Dillashaw vs. Barão 2,,"July 25, 2015"
292,2015-08-01,UFC 190: Rousey vs. Correia,UFC 190: Rousey vs. Correia,,"August 01, 2015"
293,2015-08-08,UFC Fight Night: Teixeira vs. Saint Preux,UFC Fight Night: Teixeira vs. Saint Preux,,"August 08, 2015"
294,2015-08-23,UFC Fight Night: Holloway vs. Oliveira,UFC Fight Night: Holloway vs. Oliveira,,"August 23, 2015"
295,2015-09-05,UFC 191: Johnson vs. Dodson 2,UFC 191: Johnson vs. Dodson 2,,"September 05, 2015"
296,2015-09-27,UFC Fight Night: Barnett vs. Nelson,UFC Fight Night: Barnett vs. Nelson,,"September 27, 2015"
297,2015-10-03,UFC 192: Cormier vs. Gustafsson,UFC 192: Cormier vs. Gustafsson,,"October 03, 2015"
298,2015-10-24,UFC Fight Night: Holohan vs. Smolka,UFC Fight Night: Holohan vs. Smolka,,"October 24, 2015"
299,2015-11-07,UFC Fight Night: Belfort vs. Henderson 3,UFC Fight Night: Belfort vs. Henderson 3,,"November 07, 2015"
300,2015-11-15,UFC 193: Rousey vs. Holm,UFC 193: Rousey vs. Holm,,"November 15, 2015"
301,2015-11-21,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,,"November 21, 2015"
302,2015-11-28,UFC Fight Night: Henderson vs. Masvidal,UFC Fight Night: Henderson vs. Masvidal,,"November 28, 2015"
303,2015-12-10,UFC Fight Night: Namajunas vs. VanZant,UFC Fight Night: Namajunas vs. VanZant,,"December 10, 2015"
304,2015-12-11,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,,"December 11, 2015"
305,2015-12-12,UFC 194: Aldo vs. McGregor,UFC 194: Aldo vs. McGregor,,"December 12, 2015"
306,2015-12-19,UFC on Fox: dos Anjos vs. Cowboy 2,UFC on Fox: dos Anjos vs. Cowboy 2,,"December 19, 2015"
307,2016-01-02,UFC 195: Lawler vs. Condit,UFC 195: Lawler vs. Condit,,"January 02, 2016"
308,2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,UFC Fight Night: Dillashaw vs. Cruz,,"January 17, 2016"
309,2016-01-30,UFC on Fox: Johnson vs. Bader,UFC on Fox: Johnson vs. Bader,,"January 30, 2016"
310,2016-02-06,UFC Fight Night: Hendricks vs. Thompson,UFC Fight Night: Hendricks vs. Thompson,,"February 06, 2016"
311,2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,UFC Fight Night: Cowboy vs. Cowboy,,"February 21, 2016"
312,2016-02-27,UFC Fight Night: Silva vs. Bisping,UFC Fight Night: Silva vs. Bisping,,"February 27, 2016"
313,2016-03-05,UFC 196: McGregor vs. Diaz,UFC 196: McGregor vs. Diaz,,"March 05, 2016"
314,2016-03-20,UFC Fight Night: Hunt vs. Mir,UFC Fight Night: Hunt vs. Mir,,"March 20, 2016"
315,2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,UFC Fight Night: Rothwell vs. dos Santos,,"April 10, 2016"
316,2016-04-16,UFC on Fox: Teixeira vs. Evans,UFC on Fox: Teixeira vs. Evans,,"April 16, 2016"
317,2016-04-23,UFC 197: Jones vs. Saint Preux,UFC 197: Jones vs. Saint Preux,,"April 23, 2016"
318,2016-05-08,UFC Fight Night: Overeem vs. Arlovski,UFC Fight Night: Overeem vs. Arlovski,,"May 08, 2016"
319,2016-05-14,UFC 198: Werdum vs. Miocic,UFC 198: Werdum vs. Miocic,,"May 14, 2016"
320,2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,UFC Fight Night: Almeida vs. Garbrandt,,"May 29, 2016"
321,2016-06-04,UFC 199: Rockhold vs. Bisping 2,UFC 199: Rockhold vs. Bisping 2,,"June 04, 2016"
322,2016-06-18,UFC Fight Night: MacDonald vs. Thompson,UFC Fight Night: MacDonald vs. Thompson,,"June 18, 2016"
